text,rate,funny,useful,cool,label
"Zaytoon is one of those great Mediterranean finds in Berkeley. With a fully stocked bar and lively atmosphere Zaytoon is perfect for a good formal dinner party with friends or an intimate quiet dinner with a loved one. 
Starting with the food we tried the following items:
Mazza platter : Amazing falafel (probably the best I've had) - although it is super small - great baba ganoush and hummus (nothing extra ordinary about these but definitely good), taboulleh was fresh and invigorating
Moussaka - Exactly as advertised - thin layer of cheese eggplant lasagna tasted great - Get it while it's hot
Chicken kabeb grill with rice/cous cous: Again the chicken was nice, tender and tasted perfect

We liked the falafels so much that we actually ordered a side of extra falafels and a side of hummus to go with it.

Moreover, they bring over complimentary fresh pita as per your needs. 

Coming to the drinks, I have to say they were decent but rather average given the decor of the place, the price of the drinks and size of their bar. 
We got the - 
 See you sousuh (forgettable)
 Second date (super strong, but good)
 Midnight (gin, cucumber and lemon juice which was great).

All in all I would definitely say this place is worth your time.",4,1,0,2,1
"Be prepared to wait for a table during peak lunch and dinner times. 

Is it worth the wait? Depends on the company you are with. If you are going to be chit chatting over a couple of drinks while you wait - sure! If you just want dinner...well then you can probably take it or leave it. 

This place is really cute and has a fun vibe. They have delicious cocktails although I am more of a horchata gal - which they make really well too.

The food is pretty good - lots of options - and the parrilla (grill) is fun. From the grill- I like the carnitas and jalape�����o sausage. I thought the chicken was dry. Their enchiladas are pretty good too. The dessert that I had (chocoflan) was meh. 

The service could be friendlier - although they might be too busy to really pay attention to that sort of detail and just want to get you out of there. 

I really think they are more of a 3.5 overall but I rounded up because I did have ",4,0,2,0,1
"My new favorite Indian restaurant! I loved all the dishes we ordered. The service was great. I didn't get our waiter's name but he did a great job and he was so friendly. He was young and had curly hair. He was great and made our experience at the restaurant even better.

We ordered the sev puri and chicken lollipops for our starters. My friend wasn't a fan of the puri but I enjoyed it. The chicken lollipop was tasty with the dip and fried corn batter. We ordered the chicken tikki masala and bhindi masala for our lunch combos. They offer the full menu as well but if you want a smaller portion, you definitely should order from the lunch menu. It was perfect portions. It also comes with rice, daal, and naan. You can get more naan and rice if it is not enough. The chicken tikki masala and bhindi masala were both delicious. Bhindi masala is an okra dish so order it if you like okra! The naan was yummy too. I also ordered chai which was good but nothing too special. 

I will definitely come here again for the food and service. I need to get that waiter's name next time! I usually don't get good service at a restaurant so when I do, I don't forget it!",5,3,6,5,1
"President Obama was here!

Really!

There are photos in the window which prove that President Obama ordered and picked up take out food from Great Eastern Restaurant! How cool is that?!?

I just wanted to have dimsum in San Francisco's Chinatown. Christine made it happen and then some! She invited a few people and I invited a few friends! Combined, we had an awesome time!

We were seated downstairs where the restrooms are located. Our servers were busy and quite efficient. We got a kick out of the reaction of the first guy whose eyes opened widely and with a major jaw drop, said that we ordered too much! Haha! We were starving!

Anyway, we had a fun feast and gorged ourselves on shrimp dumplings (ha gow), cha siu bao (BBQ pork buns), fried taro gok, cherng funn, spare ribs, mochi rice wrapped in Lotus leaves, XLB (xiao long bao), and more! Everyone got some leftovers to take home and enjoy again!

Thanks to Christine for setting up this foodie adventure!",4,33,42,41,1
"Very busy place! I showed up at 1:30PM for a late lunch. We had 13 parties in front of us! There is no need to fear though they have a quick turnover and we got seated very quickly! Service is very fast. There are 2 downsides 1) this is a cash only establishment and 2) they kept trying to speak to us in mandarin which unfortunately I don't know . Noodles are super fresh. The spicy garlic pork noodles are very garlicky and flavorful. The Spicy beef noodle soup isn't too spicy and the beef is very good, the soup is light and not to heavy. 
I will absolutely be back when I'm in the area.",4,0,2,1,1
"This is located in a non descriptive strip center with a Mi Ranchito Mexican market and Maude laundromat. Parking is a bit of a mess as all the stores in the area try to claim to park only to use their services. Since PL has very few spots I didn't listen to those warnings and didn't get any ticket so park at your own risk. 

Inside is like any normal pho joint. Pleasant but slightly tacky interior with the numbered tables, lots of plastic spoons and chopsticks in their holders, and the condiments of fish sauce rooster sauce salt and pepper. Lady first tried to take the orders put soon realized she doesn't understand English well enough so calls out to a guy who doesn't look Asian but more of Mexican heritage. Glass he took over because asking for where the vegan Ramen was met with a blank stare. 

Finally found the veggie ramen on the back of the menu kind of hidden with all the other menu items. Turns out they had two vegan options. One was a regular Pho and one was Bun Bo Hue but instead comes with tofu and veggies. Since I like spicy I got that one and looking over the menu I saw they make fresh thicker wider noodles you can sub out for $.75 which seemed worth doing since I'm picky when it comes to noodles and these looked good. All in
All the pho here is a bit pricey at like $13 compared to let's say east SJ but I'm
Ok with that if it's tasty. They also seem to nickel and dime you if you want more topping like sprouts but I was able to convince the waiter to give me a tray of basil and didn't charge me extra. The normal default for the soup is mint which just ok but not my favorite herb in the world.

By the way most of the people dining here are Asian which is a good sign in my book. Got my bowl of noodles with the condiments and was pretty impressed. Small plate not only had sprouts but shaved cabbage both purple and green and some jalape�����os and a half lime which actually wasn't hard as a rock like other pho joints. The soup had a nice layer of fatty spicy oil on top and the soup was quite a . Noodles were nirvana super soft and pillowy but also firm and didn't fall apart. Broth was on point and tasty for a veggie based broth. Loved the tofu here especially when bathed in the spicy oil on top. Veggies were fresh and plentiful with broccoli cabbage and onions 
And the mixed in sprouts and jalape�����os made it taste as Yelp says if my revi""pretty epic"";)

My only slight complaint but not worth removing a star was all the meat pho options give you two sizes small and large but with the veggie pho you can only get a large. Normally I get a small as it's enough for me since all those noodles and veggies are filling and I'm not one to take pho leftovers. Basically I left about 1/4 of my soup not eaten so a smaller size would be a nice option. Other than that it's hard to say anything negative about this place. It fits all the criteria on a solid bowl of noodles and I'm surprised I didn't find this place sooner. Gives me a new reason to come to Sunnyvale again. Over and out...",5,14,15,15,1
"Great crispy fresh fries, real flavorful strawberry shake. 

The garlic aioli is a miss, the nuggets are a miss, the lettuce tastes left out. The burger is the best in general i've had in the bay area, but it is in competition with little big burger and burgerville from Portland.",4,0,0,0,1
"Loved everything about my meal here, from sitting at the marble counter to the wonderfully curated wine list, balanced and thoughtful cocktails, and then of course the menu including two of my favs... tartare and oysters. The Cesar salad was also to die for. If you like any of the greats in SF, being the Progress, Rich Table, Che Fico, etc this place sits among them and you will have a killer meal. 

Wonderful food in a casual but beautiful space. Service was attentive and knowledgeable. Wouldn't hesitate to recommend/ go again. One word of caution, don't let the inner Richmond location fool you.. these are prime SF prices, I think it ended up being $300 for the two of us after tip.",5,0,2,0,1
"Come to this restaurant if you want to experience a real umma's (Korean mom's) cooking. It's a one-woman show and she locks the door when she can't handle any more customers. If you run into this situation, you can wait outside and she'll start letting people in again when she's ready. I gotta respect that attitude. 

We ordered a seafood bibimbap $16.95, a beef bibimbap $14.95, and a seafood tofu soup $11.95. The bibimbaps were delicious, but I probably wouldn't order the tofu soup again. You couldn't see any pieces of seafood in it, and there wasn't very much quantity. Maybe I'd get a kimchi stew instead?

A bottle of beer is $6 and is enormous about equal to two normal bottles of beer. This is the best value on the menu. 

Going with the theme, this is a homestyle place, so you get some typical homestyle banchan. If you want excitement and ambiance, go somewhere else. If you want comfort Korean, come to Um Ma Son.",4,0,2,0,1
"Oh Golden Boy. If you go at a busy time you will find a long line outside, but during non peak times I have walked in and gotten to order right away. The pizza reminds me of the same style you get in Italy which is great. It tastes like the pizza is cooked on top of focaccia bread. The clam pizza they are known for is delicious and is not overpowering with clam flavor but unique and garlicky. Other classic flavors are also good. I would suggest going at a non-peak time and don't forget this place is cash only!",5,0,0,0,1
"I came here for dinner with my boyfriend for date night and was very pleased with our overall experience! We both had a drink - white sangria and the passion fruit basil mojito & both were awesome! I love tapas so this spot is really great if you're into that. They also have some really good entrees instead of going the tapas route. We had the plantain chips with guacamole for an appetizer and it was super good, definitely a pretty filling portion! We also ordered the mango spinach salad which was so good and also super sizable, good portion sizes. The paella was awesome. It came with shrimp, clams, mussels, chicken, chorizo and veggies. At first I was unsure about the smokiness it had, but it was very subtle and added a really nice twist on paella. Overall loved this place! Will come back.",5,1,1,1,1
"Yelpers, say it with me, ""It's all about the Porchetta!"" 

GOOD LAWDD! 

Yesss, Yelpers! The porchetta was finger-licking good! OMG. How did I luck up and find this hidden gem?!

Papaito Rotisserie is the spot that all my Yelp friends need to discover and check out! I dined here last night, and it was delicious! My roommate and I walked in and were greeted right away by the lovely Joseph. I love the philosophy of this restaurant: two restaurants in one setting. Inside of the same establishment there is Antigua that serves breakfast and lunch and Papaito Rotisserie serves dinner; fantastic idea! I was really surprised to see the amazing choices of all the vegetarian choices at this place. Everything you could think of was on the menu to order, brussels sprouts, corn, kale salad and carrots. 

How it works? You order your main dish, choose a side, and then pick a type of sauce (che-micharri, French, chipotle or salsa picante--add a $1 for the sauce. TIP: You get an opportunity to try out the different sauces at the counter. 

The inside of the restaurant is spacious with tons of seating! I love that they have a self-serve for the water, brilliant idea! 

After looking at the menu, I was sold on the Porchetta with the Brussel sprouts and the roasted seasoned potatoes and my friend went for the herb chicken. The dishes are offered in small or large--honestly, I didn't see a big difference in the size. ::shrugs::

Once the food arrived at the table, I was pleasantly surprised as all the food looked good! My porchetta was the star of the night; that meat was so damn delicious with the crispy pork skin, and the tender meat made my taste buds jump for joy. I truly recommend ordering this! The sides were a good balance to the meal. 

The service here was phenomenal! Big shout out to Joseph who walked me and my friend through the whole ordering process. Would I recommend Papaito Rotisserie? Hell, yea! Without a doubt! 

Ey, Papa!",5,26,40,38,1
I fell in love with Shihlin's XXL crispy fried chicken at their Stonestown location and the chicken is just as good and yummy here. You can control the spice level but I just get mild since I can't spicy. The chicken is so moist and juicy inside and perfectly crunchy on the outside. You have to eat this fresh. I typically go with a caffeine free winter melon tea to balance it out. Soooo good! There is a little bit of a wait for the chicken since they make it to order but it is soooo worth it! GO...NOW!,4,0,0,0,1
"I've been here once before, but it'd been a few years before I made a return trip this past Friday. I must say, I'm a fan. After being disappointed by other KBBQ in the area, I decided to go w/the devil I knew instead of the devil I didn't and came back. This place is pretty small inside, so get here early to grab a seat (not sure if there's reservations). We went with the following:

-Bibimbap (pretty good, the rice isn't that crispy but there's good flavor)
-Kimchi ramen soup w/Beef (""spicy"" level, actually pretty spicy so eat this slowly or fast, depending on your spice tolerance)
-short ribs (really good, a lot of meat on the bone, and not over or undercooked, always my go-to)
-Pork belly skewers (too bad it only comes in a set of 2, because this is really good too--tender as hell pork)

The service is pretty efficient, even though it's only two servers. 

Also can catch a game here with the overhead TVs. I do like this place, so will be back if in the Newark area, as it's confirmed good Korean food. Just hopefully you don't have to wait too long for a seat.",4,0,0,0,1
"Expect at least a 1 hr wait-- there is a line inside in addition to the line outside! The bottleneck is them putting together the udon in front of you because there are usually empty seats and no wait for payment. 

Love the fast casual model and their sneakily expensive tempura that I always get too much of. The udon here isn't as QQ as the one in stonestown and noodles were way too cut up--we need long noodles for long life!!!!

 Besides that, still a pleasant experience and convenient location. Looking forward to more hours!",4,3,5,2,1
"A nice Thai restaurant right near the corner of Mason and Bay. I ordered the panang vegetarian dish which was served very promptly and was quite tasty. The menu is fairly traditional Thai. The meal came with rice. I had asked for it ""mild"", but I thought it was quite spicy. Next time I'll try ordering it extra mild. Be sure to Check-in on Yelp because there is a free tea offer!",4,0,0,0,1
"First timer here! I am a big fan of seafood and sandwiches. I wanted to try a new joint that was in town and found Slapfish on Yelp. 

I tried their Lobster Roll and surprisingly, I was very pleased. The bread was toasted to perfection with a light slab of butter, big bite-size pieces of lobsters accompanied with cajun fries and a slice of pickle. YUMMM! The decorations were very nice, it reminded me of an ocean harbor. It was very clean and tidy. Their customer Service was also great. I heard their chowder fries is also a popular item so I'm going to try that next!

If you're in San Jose, swing by and try this place.",4,0,2,0,1
"One of the hottest places in town. Great food, great drinks, fantastic ambiance. Our waiter was very knowledgeable and recommended wines to pair with our meals. Everything was phenomenal. We will be back.",5,0,1,0,1
"Loved this place, ambiance is beautiful, service is wonderful and the man who manages is very nice and caring! Place is also well maintained and clean and more importantly the food is so well prepared and is 5 stars alone! I wish they offered the small plates in sizes I understand their small plates but if they offered sizes it would definitely make people who are picky eaters a-lot more happy! Like two different sizes of sides of rice etc... it also makes for better sharing because not everyone orders full meals. But everything was great and belly dancing was fun to watch well worth it and will definitely come back!",5,0,0,0,1
"Tapas are a genius idea of the Spanish and it is like dim sum of Chinese food. They should be bite sizes, fresh, going well with alcohol and delicious. Teleferic hit all of them except they are not as cheap as they come in Spain but we do live in California ;) 

That being said, make sure you book a table on the weekends or you will have a good wait here. We tried their paella, grilled octopus, brava patata, meatballs, Brussels sprouts, crab Croquetta and beef skewers. All the dishes we ordered were delicious and we had to keep ordering because they were gone in seconds with a big group! 

Almost forgot but their sangria is amazing and so are other cocktails! I even tried their virgin Sangria once and it is so delicious! This is such a great place for dates, birthdays, and just a fun night out!",5,1,1,2,1
Ordered stirred pork with white pepper. It was really tasty. Was a little spicy but good for my liking. This is a new restaurant and I just happened to see this while going to another restaurant. They have photos of some of the dishes outside on the wall which is quite eye catching. I ended up ordering one of them. Service is also good and quick. I ordered the dish to go and it came quickly,5,0,0,0,1
"LOVE their burgers. But I love their fresh buns even more! No pun intended. 

My go to is the veggie burger with a sunny side up egg, runny. The veggie burger is FULL of flavor and definitely not your ordinary veggie burger. 

Talk about gourmet burgers. 

Their truffle fries are also delicious and big enough to share between 2 people, I could also say the same about the burgers. Portions are huge, I've yet to finish a burger myself, always leaving 1/4 left. So if you're not super hungry, you might want to share with someone :-)",5,0,2,0,1
